Sequence	FileName	OccupiedMemory(MB)
0	20170314023.txt	1097.3869171142578
1	20160712090.txt	1635.2717819213867
2	20160614078.txt	1881.2752075195312
3	20160913106.txt	2114.407325744629
4	20160712088.txt	1429.4027252197266
5	20161011120.txt	1455.8734130859375
6	20160209020.txt	1653.1193008422852
7	20161213154.txt	820.4130554199219
8	20160308026.txt	484.23450469970703
9	20160614082.txt	984.7422485351562
10	20160412042.txt	860.9844360351562
11	20160412045.txt	1239.0274276733398
12	20160308032.txt	1926.3851318359375
13	20160209016.txt	878.285758972168
14	20160614069.txt	1638.2590408325195
15	20160712087.txt	1116.325798034668
16	20160510064.txt	2038.0891647338867
17	20161108129.txt	1488.8393630981445
18	20160712093.txt	978.6646423339844
19	20160712091.txt	525.3778686523438
20	20160308028.txt	958.1158599853516
21	20160712094.txt	1490.8483810424805
22	20160510056.txt	816.5490570068359
23	20161108141.txt	638.5622253417969
24	20160510051.txt	723.1842880249023
25	20160614070.txt	895.9633941650391
26	20170314017.txt	506.29010009765625
27	20161108131.txt	1137.2760925292969
28	20160510060.txt	1115.5187225341797
29	20170314020.txt	1348.9813385009766
30	20170110001.txt	746.594352722168
31	20160209017.txt	1303.047348022461
32	20161108140.txt	1225.679557800293
33	20160614077.txt	957.5908889770508
34	20160616083.txt	466.19860076904297
35	20161011121.txt	1120.9180450439453
36	20161011123.txt	876.7700958251953
37	20161011127.txt	833.5006713867188
38	20160412041.txt	1277.1152038574219
39	20170110003.txt	1290.767333984375
40	20160614079.txt	611.3807678222656
41	20170110002.txt	927.1828155517578
42	20160809103.txt	1104.8213119506836
43	20160308035.txt	1677.2387466430664
44	20160614081.txt	536.5515975952148
45	20160412050.txt	1471.6713943481445
46	20160310036.txt	1126.022315979004
47	20160718092.txt	506.18568420410156
48	20160913114.txt	1474.558464050293
49	20160112002.txt	624.1341781616211
50	20160614068.txt	1199.3039932250977
51	20170314013.txt	993.9352798461914
52	20160412047.txt	513.2112045288086
53	20160510057.txt	811.6206283569336
54	20160614074.txt	1266.095573425293
55	20160809102.txt	1644.0754699707031
56	20161011125.txt	629.5650100708008
57	20161108135.txt	1452.6408615112305
58	20160614076.txt	745.8893203735352
59	20160809098.txt	746.9508743286133
60	20170314010.txt	798.6473236083984
61	20160614072.txt	1494.8961181640625
62	20160712086.txt	948.7213363647461
63	20160510058.txt	1226.9829940795898
64	20160308025.txt	1505.0055694580078
65	20160209009.txt	1326.4293670654297
66	20161213151.txt	852.9664077758789
67	20160112001.txt	1117.499397277832
68	20160412044.txt	925.8221664428711
69	20161108133.txt	786.8476638793945
70	20160412037.txt	837.8120574951172
71	20170314009.txt	760.2456436157227
72	20160209019.txt	1317.9805297851562
73	20161213153.txt	1779.1357192993164
74	20161011119.txt	1282.958641052246
75	20161108139.txt	720.2446975708008
76	20161108138.txt	735.8374328613281
77	20161213148.txt	884.7217330932617
78	20161027128.txt	764.4462814331055
79	20170314018.txt	1089.5113372802734
80	20161011118.txt	1142.123031616211
81	20160913109.txt	1599.419921875
82	20161011124.txt	636.8378601074219
83	20161108136.txt	1075.6751174926758
84	20161011126.txt	625.5691833496094
85	20160614073.txt	1187.9496459960938
86	20160510055.txt	1876.8792266845703
87	20160614075.txt	1410.782371520996
88	20160110137.txt	1678.065818786621
89	20160913105.txt	1139.8695449829102
90	20161108142.txt	725.0553970336914
91	20160209018.txt	1623.2347717285156
92	20161213152.txt	760.9438095092773
93	20161213145.txt	1494.5225982666016
94	20160510062.txt	714.0377197265625
95	20170314022.txt	493.91393280029297
96	20160510061.txt	1437.0853652954102
97	20160112010.txt	740.5620880126953
98	20160308034.txt	635.340576171875
99	20160112003.txt	561.3097152709961
100	20161213149.txt	1181.455665588379
101	20160510054.txt	935.4092254638672
102	20160308029.txt	1159.488380432129
103	20160913112.txt	1484.5736846923828
